BookingID,vehicle_no,Origin_Location,Destination_Location,TRANSPORTATION_DISTANCE_IN_KM,day_of_week,month,delay_flag,lane_popularity,cost_weight,risk_score,driver_delay_rate,route_risk,confidence_score,idle_loss,is_return_trip,is_deadhead,efficiency_score,efficiency_label,is_peak_month,distance_category,lane_maturity,is_market,Market/Regular
WDSBKTP43269,.TN34AB1336,"Sedarapet, India","Nizamabad, Telangana, India",160.0,0,4,0,0.0,0.24009318744775107,0.3996068709736387,0.2,0.0,1.0,0.0,0,0,0.4681,Medium,0,0,0.0,1,Regular
WDSBKTP43268,.TN34R1398,"Sedarapet, India","Nizamabad, Telangana, India",160.0,0,4,0,0.05056665881962136,0.24009318744775107,0.3790719855449801,0.2,0.0,1.0,0.0,0,0,0.4874,Medium,0,0,0.6931471805599453,1,Regular
WDSBKTP46114,.TN52H2331,"Sedarapet, India","Bankura, West Bengal, India",160.0,4,5,0,0.0,0.24009318744775107,0.3996068709736387,0.2,0.0,1.0,0.0,0,0,0.4681,Medium,0,0,0.0,1,Regular
WDSBKTP48532,AP02TA9639,"Tunglam, Visakhapatnam, Andhra Pradesh","Tunglam, Visakhapatnam, Andhra Pradesh",26.0,4,5,0,0.0,0.5886216058682191,0.3873288556071678,0.2,0.0,1.0,0.0,0,0,0.5403,High,0,0,0.0,1,Regular
AEIBK2022910,AP02TC7075,"Anekal, Bangalore, Karnataka","Waltair R S, Visakhapatnam, Andhra Pradesh",1050.0,2,7,1,0.0,0.054351833442141756,0.6842025626052984,0.2,0.0,1.0,0.0,0,1,0.2311,Low,0,2,0.0,1,Regular
AEIBK2024196,AP02TC7075,"Anekal, Bangalore, Karnataka","Railpet, Guntur, Andhra Pradesh",654.0,1,7,1,0.0,0.08784011676061323,0.6479182783879668,1.0,0.0,1.0,0.0,0,0,0.388,Medium,0,2,0.0,1,Regular
AEIBK2011825,AP02TH5553,"Jogeshwari East, Mumbai, Maharashtra","Bandikodigehalli, Bangalore, Karnataka",1055.0,3,1,0,0.0,0.05404826460507581,0.4816130183840219,0.2,0.0,1.0,0.0,0,0,0.4145,Medium,0,2,0.0,1,Regular
AEIBK2024954,AP03TA8998,"Anekal, Bangalore, Karnataka","Bagmati, Bagmati, Central Development Region",2424.0,2,8,0,0.0,0.008819465789263847,0.6070503544787867,0.2,0.0,1.0,0.0,0,0,0.3804,Medium,0,2,0.0,1,Regular
WDSBKTP43009,AP03TF2576,"Sedarapet, India","Nizamabad, Telangana, India",160.0,4,3,0,0.0875149330389394,0.24009318744775107,0.36406746288931396,0.2,0.0,1.0,0.0,0,0,0.5015,Medium,0,0,1.0986122886681098,1,Regular
WDSBKTP50026,AP03X3293,"Nidamanuru, Krishna, Andhra Pradesh","Apsp Colony, Guntur, Andhra Pradesh",46.0,4,6,0,0.0,0.46559168921187044,0.38916139521410376,0.2,0.0,1.0,0.0,0,0,0.5153,High,0,0,0.0,1,Regular
AEIBK1901239,AP04TT7799,"Jonnalagadda, Krishna, Andhra Pradesh","Sahakaranagar P.O, Bangalore, Karnataka",809.55,0,10,1,0.0,0.0719171806363805,0.662170855180911,0.2,0.0,1.0,0.1600267338693957,0,1,0.1672,Low,1,2,0.0,1,Regular
AEIBK1902677,AP04TT7799,"Tiruvuru, Krishna, Andhra Pradesh","Manuu, Rangareddy, Telangana",324.45,5,10,1,0.0,0.15192239190889642,0.6177226070146798,1.0,0.0,1.0,0.10037192095214163,0,1,0.4068,Medium,1,1,0.0,1,Regular
AEIBK1908298,AP04TT7799,"Someswaralayam, West Godavari, Andhra Pradesh","Bandikodigehalli, Bangalore, Karnataka",809.55,4,12,0,0.0,0.0719171806363805,0.4591231760579006,1.0,0.0,1.0,0.0,0,0,0.4226,Medium,1,2,0.0,1,Regular
AEIBK2020288,AP04TW0521,"Anekal, Bangalore, Karnataka","Thumkunta, Hyderabad, Telangana",160.0,3,6,1,0.0,0.24009318744775107,0.6026545500966491,0.2,0.0,1.0,0.03523705397598289,0,1,0.1613,Low,0,0,0.0,1,Regular
AEIBK2020802,AP04TW0521,"Anekal, Bangalore, Karnataka","Thumkunta, Hyderabad, Telangana",160.0,3,6,1,0.05056665881962136,0.24009318744775107,0.5821196646679906,1.0,0.0,1.0,0.0,0,1,0.201,Low,0,0,0.6931471805599453,1,Regular
AEIBK2021868,AP04TW0521,"Anekal, Bangalore, Karnataka","Thumkunta, Hyderabad, Telangana",160.0,3,7,0,0.0875149330389394,0.24009318744775107,0.36406746288931396,1.0,0.0,1.0,0.028203875921643074,0,1,0.1517,Low,0,0,1.0986122886681098,1,Regular
AEIBK2022378,AP04TW0521,"Anekal, Bangalore, Karnataka","Guntur, Guntur, Andhra Pradesh",656.0,3,7,1,0.0,0.08760183066009711,0.6481015323486604,0.6666666666666666,0.0,1.0,0.0,0,1,0.1935,Low,0,2,0.0,1,Regular
AEIBK2023412,AP04TW0521,"Anekal, Bangalore, Karnataka","Thumkunta, Hyderabad, Telangana",667.0,1,7,0,0.11688181260255825,0.08630959738974106,0.5082385505754263,0.75,0.2314205832994494,0.7685794167005506,0.0,0,1,0.2358,Low,0,2,1.3862943611198906,1,Regular
AEIBK2024085,AP04TW0521,"Anekal, Bangalore, Karnataka","Thumkunta, Hyderabad, Telangana",667.0,1,7,0,0.14140956535862062,0.08630959738974106,0.5271310919612049,0.6,0.2923207367993045,0.7076792632006955,0.0,0,1,0.2527,Low,0,2,1.6094379124341003,1,Regular
AEIBK2025180,AP04TW0521,"Anekal, Bangalore, Karnataka","Vikarabad, Hyderabad, Telangana",617.0,4,8,0,0.0,0.09244565391734852,0.44148040099212477,0.5,0.0,1.0,0.0,0,0,0.4302,Medium,0,2,0.0,1,Regular
AEIBK1908237,AP04TW1166,"Gopavarapugudem, Krishna, Andhra Pradesh","Apsp Colony, Guntur, Andhra Pradesh",72.0,3,12,1,0.0,0.37483611392088945,0.5945913758261311,0.2,0.0,1.0,0.0031981219994463854,0,1,0.3003,Low,1,0,0.0,1,Regular
AEIBK1908948,AP04TW1166,"Gopavarapugudem, Krishna, Andhra Pradesh","Muktyala, Krishna, Andhra Pradesh",117.0,3,12,1,0.0,0.28831802725069133,0.5987145899417369,1.0,0.0,1.0,0.03032058645594905,0,1,0.1215,Low,1,0,0.0,1,Regular
AEIBK2011416,AP04TW1166,"Gopavarapugudem, Krishna, Andhra Pradesh","Muktyala, Krishna, Andhra Pradesh",117.0,1,1,0,0.05056665881962136,0.28831802725069133,0.37513202539006785,1.0,0.0,1.0,0.0,0,1,0.2361,Low,0,0,0.6931471805599453,1,Regular
AEIBK2011418,AP04TW1166,"Gopavarapugudem, Krishna, Andhra Pradesh","Muktyala, Krishna, Andhra Pradesh",117.0,1,1,0,0.0875149330389394,0.28831802725069133,0.454915806831802,0.6666666666666666,0.20006906296267107,0.7999309370373289,0.0,0,1,0.2644,Low,0,0,1.0986122886681098,1,Regular
AEIBK2011877,AP04TW1166,"Gopavarapugudem, Krishna, Andhra Pradesh","Rambilli, Visakhapatnam, Andhra Pradesh",297.0,4,1,0,0.0,0.16151077130920619,0.4121597672811498,0.5,0.0,1.0,0.0,0,0,0.4499,Medium,0,1,0.0,1,Regular
